doc_id,rouge1_p,rouge1_r,rouge1_f1,rouge2_p,rouge2_r,rouge2_f1,rougeL_p,rougeL_r,rougeL_f1
856194,0.7041420118343196,0.476,0.568019093078759,0.3392857142857143,0.2289156626506024,0.2733812949640288,0.3076923076923077,0.208,0.24821002386634847
938898,0.734375,0.5755102040816327,0.6453089244851259,0.4083769633507853,0.319672131147541,0.3586206896551724,0.4322916666666667,0.33877551020408164,0.379862700228833
919121,0.8130841121495327,0.3936651583710407,0.5304878048780488,0.5471698113207547,0.2636363636363636,0.3558282208588957,0.5607476635514018,0.27149321266968324,0.3658536585365853
685234,0.723404255319149,0.2764227642276423,0.4,0.3978494623655914,0.1510204081632653,0.21893491124260353,0.4574468085106383,0.17479674796747968,0.2529411764705882
1822024,0.81875,0.5137254901960784,0.6313253012048191,0.5345911949685535,0.3346456692913386,0.4116222760290557,0.64375,0.403921568627451,0.4963855421686747
1418391,0.8823529411764706,0.430327868852459,0.5785123966942148,0.5677966101694916,0.2757201646090535,0.3711911357340721,0.5462184873949579,0.26639344262295084,0.3581267217630854
1011356,0.7719298245614035,0.39111111111111113,0.5191740412979351,0.4247787610619469,0.21428571428571427,0.2848664688427299,0.5701754385964912,0.28888888888888886,0.38348082595870203
491934,0.82,0.4939759036144578,0.6165413533834586,0.48322147651006714,0.2903225806451613,0.36272040302267006,0.5533333333333333,0.3333333333333333,0.41604010025062654
1328814,0.7619047619047619,0.39215686274509803,0.5177993527508091,0.375,0.1921182266009852,0.254071661237785,0.4666666666666667,0.24019607843137256,0.31715210355987056
1767393,0.753731343283582,0.463302752293578,0.5738636363636364,0.42105263157894735,0.25806451612903225,0.31999999999999995,0.4925373134328358,0.30275229357798167,0.375
800341,0.7410071942446043,0.42213114754098363,0.5378590078328982,0.36231884057971014,0.205761316872428,0.26246719160104987,0.45323741007194246,0.2581967213114754,0.32898172323759794
1462242,0.85,0.612,0.7116279069767442,0.5418994413407822,0.3895582329317269,0.4532710280373832,0.5944444444444444,0.428,0.4976744186046511
1401567,0.7664233576642335,0.44680851063829785,0.564516129032258,0.5147058823529411,0.29914529914529914,0.37837837837837834,0.6058394160583942,0.35319148936170214,0.446236559139785
399708,0.8051948051948052,0.5254237288135594,0.635897435897436,0.5032679738562091,0.3276595744680851,0.39690721649484534,0.5974025974025974,0.3898305084745763,0.4717948717948718
1543623,0.8859060402684564,0.5432098765432098,0.673469387755102,0.668918918918919,0.4090909090909091,0.5076923076923078,0.7919463087248322,0.48559670781893005,0.6020408163265306
1006709,0.7564102564102564,0.5645933014354066,0.6465753424657533,0.44516129032258067,0.3317307692307692,0.38016528925619836,0.47435897435897434,0.35406698564593303,0.4054794520547945
